name,value,year,lastValue,rank
Converse,3020339.00,2009,3020339,1
Topper,2641317.00,2009,2641317,2
Miss Carol,2616702.25,2009,2616702,25,3
Reebok,2509095.00,2009,2509095,4
Havaianas,2461699.00,2009,2461699,5
Lombardino,2065935.00,2009,2065935,6
PUSH,1971668.76,2009,1971668,76,7
Camarao,1796729.36,2009,1796729,36,8
Puma,1527852.00,2009,1527852,9
Freeway ,1518093.00,2009,1518093,10
A.Giannini,1461455.00,2009,1461455,11
Rider,1348212.00,2009,1348212,12
Euro Jack,1161433.10,2009,1161433,1,13
New Balance,1139924.00,2009,1139924,14
Adidas,978410.00,2009,978410,15
Azaleia,746842.00,2009,746842,16
Branch,612916.08,2009,612916,08,17
Mormaii,606599.00,2009,606599,18
Sumilon,492375.20,2009,492375,2,19
Umbro,455515.00,2009,455515,20
Croco Kids,437817.25,2009,437817,25,21
Varios_Saldos,433037.00,2009,433037,22
Olympikus                 ,372466.00,2009,372466,23
Cuerart                  ,323120.00,2009,323120,24
Reef,307810.00,2009,307810,25
Hello Kitty,282470.00,2009,282470,26
{Sin Definir},217029.90,2009,217029,9,27
Falatino,216546.00,2009,216546,28
Bibi,174920.00,2009,174920,29
North Sails N+,174909.00,2009,174909,30
Crocs,172366.00,2009,172366,31
Wassington   ,112289.00,2009,112289,32
Goshik,108330.00,2009,108330,33
Vanzetti,108068.00,2009,108068,34
Lady Confort,78000.00,2009,78000,35
Mc Jason,70301.00,2009,70301,36
Spiderman,65997.00,2009,65997,37
Aquarella,64719.00,2009,64719,38
Hot Wheels,62890.00,2009,62890,39
Bioconfort,62110.00,2009,62110,40
Grendha,49775.00,2009,49775,41
Bottero,46814.00,2009,46814,42
Cartago,46500.00,2009,46500,43
Pigalle ,39910.00,2009,39910,44
FF,35730.00,2009,35730,45
Grendene,32981.00,2009,32981,46
Ginga,32427.00,2009,32427,47
Via Uno,31857.00,2009,31857,48
SANJERIY,30690.00,2009,30690,49
Disponible,25825.00,2009,25825,50
Legitimo,24500.00,2009,24500,51
Democrata,7450.00,2009,7450,52
Natalia K,6788.00,2009,6788,53
Euro Teens,6101.00,2009,6101,54
Asics,5800.00,2009,5800,55
MINI Miss Carol,3493.00,2009,3493,56
Pierre Cardin/Dali/Murakami,2500.00,2009,2500,57
Angra,1980.00,2009,1980,58
Kadú,1700.00,2009,1700,59
Sonho De Crianca,1400.00,2009,1400,60
Ador,897.00,2009,897,61
Siboney,800.00,2009,800,62
G&F,600.00,2009,600,63
Luocheng,450.00,2009,450,64
Mac Boot,0.00,2009,0,65
Country,0.00,2009,0,66
Barbie,-100.00,2009,-100,67
ZAXY,-790.00,2009,-790,68
Miss Carol,3283661.16,2010,3283661,16,1
Havaianas,2859939.00,2010,2859939,2
Topper,2757451.00,2010,2757451,3
Reebok,2622576.00,2010,2622576,4
Puma,2321936.00,2010,2321936,5
PUSH,2147608.68,2010,2147608,68,6
Rider,2024245.00,2010,2024245,7
Lombardino,1962597.00,2010,1962597,8
Freeway ,1895238.00,2010,1895238,9
A.Giannini,1868572.56,2010,1868572,56,10
Camarao,1660674.54,2010,1660674,54,11
Converse,1620698.00,2010,1620698,12
Azaleia,1391074.00,2010,1391074,13
New Balance,975158.00,2010,975158,14
Adidas,962840.00,2010,962840,15
Euro Jack,748133.00,2010,748133,16
Lady Confort,713777.00,2010,713777,17
Branch,681488.36,2010,681488,36,18
Sumilon,654890.72,2010,654890,72,19
Croco Kids,583701.10,2010,583701,1,20
Mormaii,551088.00,2010,551088,21
Pigalle ,491954.00,2010,491954,22
Olympikus                 ,482283.00,2010,482283,23
Gallarate,391650.00,2010,391650,24
North Sails N+,338458.28,2010,338458,28,25
Wassington   ,288091.00,2010,288091,26
Umbro,285188.00,2010,285188,27
Hello Kitty,267354.00,2010,267354,28
Goshik,209620.00,2010,209620,29
Cuerart                  ,206179.00,2010,206179,30
Bibi,198582.00,2010,198582,31
Mistral,171140.00,2010,171140,32
Spiderman,154310.00,2010,154310,33
Reef,113824.00,2010,113824,34
Tiernitas,110506.00,2010,110506,35
Varios_Saldos,103722.00,2010,103722,36
Vanzetti,94805.00,2010,94805,37
Grendha,76941.00,2010,76941,38
Ginga,76447.00,2010,76447,39
Mc Jason,75090.00,2010,75090,40
{Sin Definir},71993.88,2010,71993,88,41
Falatino,70516.00,2010,70516,42
Crocs,64534.00,2010,64534,43
Blanditos,37000.00,2010,37000,44
FF,29900.00,2010,29900,45
Hot Wheels,27410.00,2010,27410,46
ZAXY,23250.00,2010,23250,47
Bottero,15479.00,2010,15479,48
Legitimo,11920.00,2010,11920,49
Disponible,11100.00,2010,11100,50
Grendene,5690.00,2010,5690,51
