name,value,year,lastValue,rank
Converse,2630755,1,2709784,1
Miss Carol,2418169,1,2367361,2
Topper,2916351,1,2347817,3
Havaianas,924189,1,2337283,4
Reebok,2115155,1,2183945,5
Lombardino,1815164,1,1842500,6
PUSH,2502769,1,1730122,7
Camarao,1532547,1,1585366,8
Freeway ,1013071,1,1398678,9
Puma,1351034,1,1386465,10
A.Giannini,1029506,1,1333444,11
Rider,496322,1,1281868,12
Euro Jack,646499,1,1093544,13
New Balance,1090936,1,1017604,14
Adidas,812734,1,913120,15
Azaleia,390539,1,688705,16
Mormaii,267821,1,576720,17
Branch,538614,1,565790,18
Sumilon,643980,1,455106,19
Umbro,486410,1,401518,20
Croco Kids,304632,1,394347,21
Varios_Saldos,425038,1,372347,22
Olympikus                 ,374030,1,327451,23
Cuerart                  ,316428,1,283103,24
Reef,221475,1,278040,25
Hello Kitty,73752,1,269951,26
Falatino,183031,1,192169,27
North Sails N+,146434,1,158736,28
Crocs,94722,1,155932,29
Bibi,244719,1,150626,30
Wassington   ,137200,1,99139,31
Vanzetti,265138,1,89459,32
Goshik,498854,1,83380,33
Lady Confort,132850,1,64050,34
Spiderman,18481,1,63504,35
Mc Jason,67303,1,62412,36
Hot Wheels,21130,1,60330,37
Aquarella,68878,1,56846,38
Bioconfort,69901,1,51625,39
Grendha,20220,1,46895,40
Cartago,7250,1,45000,41
Pigalle ,24620,1,39910,42
Bottero,48362,1,39570,43
FF,26910,1,32740,44
Ginga,19358,1,32118,45
SANJERIY,24189,1,27720,46
Via Uno,37418,1,26068,47
Grendene,37223,1,24993,48
Legitimo,23440,1,24500,49
Disponible,22270,1,21845,50
Democrata,10430,1,7450,51
Euro Teens,3000,1,5701,52
Natalia K,8974,1,5691,53
Asics,5000,1,5000,54
MINI Miss Carol,1097,1,3892,55
Pierre Cardin/Dali/Murakami,5100,1,2000,56
Angra,990,1,1980,57
Kadú,2100,1,1500,58
Sonho De Crianca,1100,1,1300,59
G&F,1800,1,600,60
Ador,4324,1,598,61
Luocheng,950,1,300,62
Country,1770,1,0,63
ZAXY,2380,1,-790,64
Topper,3987672,2,2916351,1
