name,value,year,lastValue,rank
Converse,2709784.00,1,2709784,1
Miss Carol,2367361.25,1,2367361,25,2
Topper,2347817.00,1,2347817,3
Havaianas,2337283.00,1,2337283,4
Reebok,2183945.00,1,2183945,5
Lombardino,1842500.00,1,1842500,6
PUSH,1730122.76,1,1730122,76,7
Camarao,1585366.72,1,1585366,72,8
Freeway ,1398678.00,1,1398678,9
Puma,1386465.00,1,1386465,10
A.Giannini,1333444.00,1,1333444,11
Rider,1281868.00,1,1281868,12
Euro Jack,1093544.10,1,1093544,1,13
New Balance,1017604.00,1,1017604,14
Adidas,913120.00,1,913120,15
Azaleia,688705.00,1,688705,16
Mormaii,576720.00,1,576720,17
Branch,565790.08,1,565790,08,18
Sumilon,455106.20,1,455106,2,19
Umbro,401518.00,1,401518,20
Croco Kids,394347.25,1,394347,25,21
Varios_Saldos,372347.00,1,372347,22
Olympikus                 ,327451.00,1,327451,23
Cuerart                  ,283103.00,1,283103,24
Reef,278040.00,1,278040,25
Hello Kitty,269951.00,1,269951,26
{Sin Definir},203082.90,1,203082,9,27
Falatino,192169.00,1,192169,28
North Sails N+,158736.00,1,158736,29
Crocs,155932.00,1,155932,30
Bibi,150626.00,1,150626,31
Wassington   ,99139.00,1,99139,32
Vanzetti,89459.00,1,89459,33
Goshik,83380.00,1,83380,34
Lady Confort,64050.00,1,64050,35
Spiderman,63504.00,1,63504,36
Mc Jason,62412.00,1,62412,37
Hot Wheels,60330.00,1,60330,38
Aquarella,56846.00,1,56846,39
Bioconfort,51625.00,1,51625,40
Grendha,46895.00,1,46895,41
Cartago,45000.00,1,45000,42
Pigalle ,39910.00,1,39910,43
Bottero,39570.00,1,39570,44
FF,32740.00,1,32740,45
Ginga,32118.00,1,32118,46
SANJERIY,27720.00,1,27720,47
Via Uno,26068.00,1,26068,48
Grendene,24993.00,1,24993,49
Legitimo,24500.00,1,24500,50
Disponible,21845.00,1,21845,51
Democrata,7450.00,1,7450,52
Euro Teens,5701.00,1,5701,53
Natalia K,5691.00,1,5691,54
Asics,5000.00,1,5000,55
MINI Miss Carol,3892.00,1,3892,56
Pierre Cardin/Dali/Murakami,2000.00,1,2000,57
Angra,1980.00,1,1980,58
Kadú,1500.00,1,1500,59
Sonho De Crianca,1300.00,1,1300,60
Siboney,800.00,1,800,61
G&F,600.00,1,600,62
Ador,598.00,1,598,63
Luocheng,300.00,1,300,64
Country,0.00,1,0,65
Barbie,-100.00,1,-100,66
ZAXY,-790.00,1,-790,67
Topper,2916351.00,2,2916351,1
Converse,2630755.00,2,2630755,2
PUSH,2502769.86,2,2502769,86,3
Miss Carol,2418169.38,2,2418169,38,4
Reebok,2115155.00,2,2115155,5
Lombardino,1815164.00,2,1815164,6
Camarao,1532547.64,2,1532547,64,7
